#meta-params	pre[ms]	inf[ms]	loss[ms]	post[ms]	prec	recall	mAP50	mAP50-95	fitness
#pre:preprocessing; inf:inference; post:postprocessing; prec:precision
batch-04_epo-080	10.14	413.20	0.00	2.69	0.867	0.867	0.881	0.710	0.727
batch-04_epo-120	5.70	424.16	0.00	2.47	0.874	0.865	0.885	0.721	0.737
batch-04_epo-160	5.89	425.22	0.00	2.65	0.869	0.873	0.886	0.736	0.751
batch-04_epo-200	5.63	406.04	0.00	2.86	0.892	0.864	0.894	0.731	0.747
batch-04_epo-240	5.88	429.48	0.00	2.74	0.869	0.858	0.882	0.712	0.729
batch-04_epo-300	5.79	407.63	0.00	2.74	0.876	0.859	0.880	0.733	0.747
batch-08_epo-080	5.35	406.59	0.00	2.84	0.865	0.841	0.875	0.720	0.735
batch-08_epo-120	5.95	424.77	0.00	2.62	0.886	0.845	0.884	0.699	0.717
batch-08_epo-160	5.44	423.44	0.00	2.83	0.877	0.865	0.887	0.743	0.757
batch-08_epo-200	5.38	418.56	0.00	2.97	0.900	0.866	0.887	0.729	0.745
batch-08_epo-240	5.54	422.85	0.00	2.68	0.877	0.848	0.882	0.727	0.743
batch-08_epo-300	5.52	409.17	0.00	2.69	0.873	0.839	0.875	0.730	0.744
batch-16_epo-080	5.88	428.55	0.00	2.82	0.866	0.882	0.888	0.734	0.750
batch-16_epo-120	5.63	408.64	0.00	2.75	0.867	0.867	0.884	0.742	0.756
batch-16_epo-160	5.41	406.72	0.00	2.63	0.881	0.860	0.884	0.734	0.749
batch-16_epo-200	5.96	416.81	0.00	2.99	0.881	0.846	0.879	0.734	0.748
batch-16_epo-240	6.01	409.32	0.00	2.83	0.897	0.854	0.880	0.744	0.758
batch-16_epo-300	5.83	420.60	0.00	2.93	0.888	0.871	0.892	0.748	0.762
batch-20_epo-080	5.61	404.58	0.00	2.91	0.885	0.857	0.897	0.738	0.754
batch-20_epo-120	6.29	401.40	0.00	2.95	0.878	0.856	0.890	0.744	0.759
batch-20_epo-160	6.31	413.45	0.00	3.05	0.886	0.852	0.888	0.757	0.770
batch-20_epo-200	6.17	429.94	0.00	2.88	0.902	0.877	0.898	0.751	0.765
batch-20_epo-240	5.59	405.28	0.00	2.73	0.879	0.857	0.885	0.730	0.746
batch-20_epo-300	5.37	420.90	0.00	2.71	0.878	0.867	0.891	0.737	0.753
batch-30_epo-080	5.60	427.07	0.00	2.70	0.881	0.866	0.890	0.742	0.757
batch-30_epo-120	6.61	404.49	0.00	3.11	0.884	0.856	0.881	0.725	0.741
batch-30_epo-160	6.05	430.39	0.00	3.13	0.894	0.862	0.888	0.737	0.752
batch-30_epo-200	6.38	413.55	0.00	3.38	0.846	0.824	0.863	0.721	0.735
batch-30_epo-240	5.60	408.91	0.00	2.84	0.887	0.859	0.880	0.738	0.752
batch-30_epo-300	5.62	408.50	0.00	3.04	0.896	0.943	0.956	0.808	0.823
batch-40_epo-080	5.62	418.51	0.00	2.64	0.875	0.864	0.881	0.720	0.736
batch-40_epo-120	5.67	416.49	0.00	2.86	0.879	0.851	0.882	0.729	0.744
batch-40_epo-160	5.53	407.39	0.00	2.84	0.866	0.826	0.861	0.705	0.721
batch-40_epo-200	6.04	419.85	0.00	3.10	0.875	0.854	0.886	0.739	0.754
batch-40_epo-240	5.74	406.13	0.00	3.03	0.834	0.881	0.890	0.742	0.756
batch-40_epo-300	6.21	417.11	0.00	3.11	0.881	0.847	0.887	0.739	0.754
